Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
Green Hill,Steele Crosswhite,Cheri Magill,,,,,,,,,,Cecil Frances Alexander,,,,,John H. Gower,,,,Paul Cardall,Jonathon Shults,,EFY 2009: Be Thou an Example (2009),2009,9,12,https://www.youtube.com/watch?v=ENP3gzy7Hiw,221.0
Shine,William Joseph,,,,,,,,,,,N/A,,,,,William Joseph,,,,,,,EFY 2009: Be Thou an Example (2009),2009,10,12,https://www.youtube.com/watch?v=DK25qMotObU,238.0
While We’re Young,April Meservy,JB Ahfua,,,,,,,,,,Lowell Alexander,Tyler Castleton,,,,Lowell Alexander,Tyler Castleton,,,,,,EFY 2009: Be Thou an Example (2009),2009,11,12,https://www.youtube.com/watch?v=QFWj-huzye8,222.0
I Believe in Christ,Jen Marco Handy,,,,,,,,,,,Bruce R. McConkie,,,,,John Longhurst,,,,Michael R. Hicks,,,EFY 2009: Be Thou an Example (2009),2009,12,12,https://www.youtube.com/watch?v=8dw3fZ-k0sU,361.0
Courage to Stand Strong,Ryan Innes,,,,,,,,,,,Russ Dixon,,,,,Russ Dixon,,,,,,,EFY 2010: Courage to Stand Strong (2010),2010,1,12,https://www.youtube.com/watch?v=8KEnEfjJLfI,252.0
Walking in Sunlight,Stephanie Smith Mabey,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2010: Courage to Stand Strong (2010),2010,2,12,https://www.youtube.com/watch?v=uj2sMyi2vkQ,168.0
Every Word,Debra Fotheringham,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2010: Courage to Stand Strong (2010),2010,3,12,https://www.youtube.com/watch?v=r3icD1sy6vQ,205.0
Let It Begin,Julie Yardley,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 2010: Courage to Stand Strong (2010),2010,4,12,https://www.youtube.com/watch?v=bbWnhNmf6xg,284.0
Wait for It,Ben Truman,,,,,,,,,,,Ben Truman,Chad Truman,Russ Dixon,,,Ben Truman,Chad Truman,Russ Dixon,,,,,EFY 2010: Courage to Stand Strong (2010),2010,5,12,https://www.youtube.com/watch?v=xC0fxt2ACV0,264.0
"Lord, I Would Follow Thee",Daniel Beck,,,,,,,,,,,Susan Evans McCloud,,,,,K. Newell Dayley,,,,Michael R. Hicks,,,EFY 2010: Courage to Stand Strong (2010),2010,6,12,https://www.youtube.com/watch?v=4WkpGE8wabo,259.0
I Am His Daughter,Nicole Sheahan,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,John Hancock,,,EFY 2010: Courage to Stand Strong (2010),2010,7,12,https://www.youtube.com/watch?v=jzulLmxgbVg,198.0
Duty to God,Chad Neth,,,,,,,,,,,Wayne Burton,,,,,Wayne Burton,,,,Tyler Castleton,,,EFY 2010: Courage to Stand Strong (2010),2010,8,12,https://www.youtube.com/watch?v=wFbsEYrDpdA,238.0
Treasure the Truth,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Tyler Castleton,,,EFY 2010: Courage to Stand Strong (2010),2010,9,12,https://www.youtube.com/watch?v=ZVsj6-Ayk2k,259.0
Let Us All Press On,The Jenny Phillips Choir,,,,,,,,,,,Evan Stephens,,,,,Evan Stephens,,,,Michael R. Hicks,,,EFY 2010: Courage to Stand Strong (2010),2010,10,12,https://www.youtube.com/watch?v=tpZtHGnlv84,231.0
I Will Not Be Still,Russ Dixon,,,,,,,,,,,Tyler Castleton,Staci Peters,Greg Simpson,,,Tyler Castleton,Staci Peters,Greg Simpson,,,,,EFY 2010: Courage to Stand Strong (2010),2010,11,12,https://www.youtube.com/watch?v=vdYvZ_pPnS0,266.0
Arrival,Jon Schmidt,,,,,,,,,,,N/A,,,,,Jon Schmidt,,,,,,,EFY 2010: Courage to Stand Strong (2010),2010,12,12,https://www.youtube.com/watch?v=NFEk3KsrW7c,210.0
We Believe,Sam Riddle,,,,,,,,,,,Russ Dixon,,,,,Russ Dixon,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,1,13,https://www.youtube.com/watch?v=qZW_yF0VBR0,255.0
Love Comes Back,Stephanie Smith Mabey,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,2,13,https://www.youtube.com/watch?v=7FQSp34mOyQ,167.0
The One,Audrey Bandley,,,,,,,,,,,Audrey Bandley,Russ Dixon,,,,Audrey Bandley,Russ Dixon,,,Tyler Castleton,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,3,13,https://www.youtube.com/watch?v=TozHi7zMyj8,236.0
Hold On,Ryan Innes,,,,,,,,,,,Dustin Christensen,Russ Dixon,,,,Dustin Christensen,Russ Dixon,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,4,13,https://www.youtube.com/watch?v=axDtn71nqW8,221.0
What Faith Can Do,Scott Krippayne,,,,,,,,,,,Scott Davis,Scott Krippayne,,,,Scott Davis,Scott Krippayne,,,Tyler Castleton,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,5,13,https://www.youtube.com/watch?v=wRxOafNrTmo,246.0
He Knows Me Better,Jenessa Buttars,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,6,13,https://www.youtube.com/watch?v=Tq6MHmSXvBQ,178.0
No Regrets,Chad Neth,,,,,,,,,,,Tyler Castleton,Jenny Phillips,,,,Tyler Castleton,Jenny Phillips,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,7,13,https://www.youtube.com/watch?v=LXQU5CthPS0,228.0
Hard to Doubt,Dustin Christensen,,,,,,,,,,,Dustin Christensen,,,,,Dustin Christensen,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,8,13,https://www.youtube.com/watch?v=5R1JQSN0Ybk,208.0
Hallelujah,Justin Williams,,,,,,,,,,,Justin Williams,Ryan Innes,Russ Dixon,,,Justin Williams,Ryan Innes,Russ Dixon,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,9,13,https://www.youtube.com/watch?v=m9WnQwNw9qo,217.0
Come to the Mountain of the Lord,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,Tyler Castleton,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,10,13,https://www.youtube.com/watch?v=dKRY2QFoI2M,255.0
I Know That My Redeemer Lives,Jen Marco Handy,,,,,,,,,,,Samuel Medley,,,,,Lewis D. Edwards,,,,Michael R. Hicks,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,11,13,https://www.youtube.com/watch?v=30kY7giIlqc,369.0
Take It Home,Jenn Blosil,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,12,13,https://www.youtube.com/watch?v=RJVDh1CNHsA,243.0
Grace,David Tolk,Michael Dowdle,John Hancock,Aaron Ashton,Mackenzie Tolk,,,,,,,N/A,,,,,David Tolk,,,,,,,"EFY 2011: Believe, Hope, Endure (2011)",2011,13,13,https://www.youtube.com/watch?v=huVuiIggSws,192.0
Arise and Shine,David Osmond,,,,,,,,,,,Russ Dixon,Stephanie Smith Mabey,,,,Russ Dixon,Stephanie Smith Mabey,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,1,12,https://www.youtube.com/watch?v=ut02uCZrmxY,209.0
He’ll Answer Back,Catherine Papworth,,,,,,,,,,,Dustin Christensen,Stephanie Smith Mabey,,,,Dustin Christensen,Stephanie Smith Mabey,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,2,12,https://www.youtube.com/watch?v=5jBUI6g92P8,217.0
Never Be the Same,Eric Michels,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,3,12,https://www.youtube.com/watch?v=vkliq8McLmw,226.0
All Great Men,Tim Gates,,,,,,,,,,,Dustin Christensen,Russ Dixon,,,,Dustin Christensen,Russ Dixon,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,4,12,https://www.youtube.com/watch?v=jQdhZD9xoWg,186.0
My Story,Kaity Whitcomb,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,5,12,https://www.youtube.com/watch?v=eEZwZewlaiY,191.0
I Feel My Savior’s Love,Haley Gibby,,,,,,,,,,,Ralph Rodgers Jr.,K. Newell Dayley,Laurie A. Huffman,,,K. Newell Dayley,,,,Russ Dixon,,,EFY 2012: Arise and Shine Forth (2012),2012,6,12,https://www.youtube.com/watch?v=dx1qIhuqzDA,222.0
Give It All to Him,Tel Dyer,,,,,,,,,,,Tel Dyer,,,,,Tel Dyer,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,7,12,https://www.youtube.com/watch?v=8VTybbmO6S4,257.0
Waiting for Me,Julie Yardley,,,,,,,,,,,Tyler Castleton,Wayne Burton,,,,Tyler Castleton,Wayne Burton,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,8,12,https://www.youtube.com/watch?v=7GkD-ji6C4o,216.0
See It in Everyone,Hannah Bradshaw,,,,,,,,,,,Dustin Christensen,,,,,Dustin Christensen,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,9,12,https://www.youtube.com/watch?v=XKkke6wU_1Q,182.0
Glorious,Russ Dixon,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,10,12,https://www.youtube.com/watch?v=3wejMi2JyTU,205.0
Best Days of Our Lives,Dustin Christensen,,,,,,,,,,,Dustin Christensen,Russ Dixon,,,,Dustin Christensen,Russ Dixon,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,11,12,https://www.youtube.com/watch?v=-EBp2mKAwCg,227.0
A Light Within,William Joseph,,,,,,,,,,,N/A,,,,,William Joseph,,,,,,,EFY 2012: Arise and Shine Forth (2012),2012,12,12,https://www.youtube.com/watch?v=H8Ajswu40Rg,220.0
The Right Place,Beyond 5,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,,,EFY 2013: Firm in the Faith (2013),2013,1,13,https://www.youtube.com/watch?v=ry5bTxUMZiE,242.0
Days of My Youth,Dan Kartchner,,,,,,,,,,,Scott Krippayne,Russ Dixon,,,,Scott Krippayne,Russ Dixon,,,,,,EFY 2013: Firm in the Faith (2013),2013,2,13,https://www.youtube.com/watch?v=jV15gYyPYG0,207.0
Firm in the Faith,Scott Krippayne,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2013: Firm in the Faith (2013),2013,3,13,https://www.youtube.com/watch?v=rCIsgMXmxN4,255.0
Even When You’re Broken,Julie Yardley,,,,,,,,,,,Scott Krippayne,Russ Dixon,,,,Scott Krippayne,Russ Dixon,,,,,,EFY 2013: Firm in the Faith (2013),2013,4,13,https://www.youtube.com/watch?v=JyIxVvk-3kk,210.0
I Decide,Dustin Christensen,,,,,,,,,,,Dustin Christensen,,,,,Dustin Christensen,,,,,,,EFY 2013: Firm in the Faith (2013),2013,5,13,https://www.youtube.com/watch?v=WLGndZNIB2Q,244.0
I Feel Heaven Here,Catherine Papworth,,,,,,,,,,,Catherine Papworth,Todd Schwartzman,Russ Dixon,,,Catherine Papworth,Todd Schwartzman,Russ Dixon,,,,,EFY 2013: Firm in the Faith (2013),2013,6,13,https://www.youtube.com/watch?v=QqiHHGuz7i0,220.0
One Day at a Time,Maddie Wilson,,,,,,,,,,,Dustin Christensen,Tyler Castleton,,,,Dustin Christensen,Tyler Castleton,,,,,,EFY 2013: Firm in the Faith (2013),2013,7,13,https://www.youtube.com/watch?v=6taw3OmKqEE,224.0
One Prayer Away,Colton Avery,,,,,,,,,,,Nik Day,Russ Dixon,,,,Nik Day,Russ Dixon,,,,,,EFY 2013: Firm in the Faith (2013),2013,8,13,https://www.youtube.com/watch?v=Z81wAB_Z_rw,194.0
The Girl I Am,Jenessa Buttars,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2013: Firm in the Faith (2013),2013,9,13,https://www.youtube.com/watch?v=o6bL7ezELoc,154.0
We Can Do More,Ryan Innes,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2013: Firm in the Faith (2013),2013,10,13,https://www.youtube.com/watch?v=EAXpUZpHZHA,198.0
Right Where You Are,Jessie Booth,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2013: Firm in the Faith (2013),2013,11,13,https://www.youtube.com/watch?v=3vhj0cpTGvM,164.0
Who Am I,Nik Day,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2013: Firm in the Faith (2013),2013,12,13,https://www.youtube.com/watch?v=fw-5GObjGuM,250.0
I Stand All Amazed,BYU Vocal Point,Ben Murphy (solo),,,,,,,,,,Charles H. Gabriel,,,,,Charles H. Gabriel,,,,McKay Crockett,,,EFY 2013: Firm in the Faith (2013),2013,13,13,https://www.youtube.com/watch?v=41B_4bI5SJ8,309.0
Anxiously Engaged,Rowan Taylor,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,,,EFY 2014: Anxiously Engaged (2014),2014,1,12,https://www.youtube.com/watch?v=Ml2DjJ38E5U,220.0
Solid Ground,Nik Day,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2014: Anxiously Engaged (2014),2014,2,12,https://www.youtube.com/watch?v=y8zopD64OG8,223.0
I Am Enough,Nicole Sheahan,,,,,,,,,,,Stephanie Smith Mabey,Nik Day,,,,Stephanie Smith Mabey,Nik Day,,,,,,EFY 2014: Anxiously Engaged (2014),2014,3,12,https://www.youtube.com/watch?v=gAqcHQ5Mo_g,227.0
All I Need to Know,Patch Crowe,,,,,,,,,,,Tyler Castleton,Wayne Burton,,,,Tyler Castleton,Wayne Burton,,,,,,EFY 2014: Anxiously Engaged (2014),2014,4,12,https://www.youtube.com/watch?v=4Mx6XLjPArg,207.0
Silver Lining,Stephanie Smith Mabey,,,,,,,,,,,Stephanie Smith Mabey,Nik Day,,,,Stephanie Smith Mabey,Nik Day,,,,,,EFY 2014: Anxiously Engaged (2014),2014,5,12,https://www.youtube.com/watch?v=0Y3fU9Crlt0,194.0
Right Where I Belong,Chris Tenbau,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2014: Anxiously Engaged (2014),2014,6,12,https://www.youtube.com/watch?v=BjLl1Ec4GSQ,204.0
Not the Only One,Scott Krippayne,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,,,EFY 2014: Anxiously Engaged (2014),2014,7,12,https://www.youtube.com/watch?v=ABfMeggkwfY,237.0
I Need Thee Every Hour,Beyond 5,,,,,,,,,,,Annie S. Hawks,,,,,Robert Lowry,,,,McKay Crockett,,,EFY 2014: Anxiously Engaged (2014),2014,8,12,https://www.youtube.com/watch?v=mSG8RR7tTDs,205.0
Just How I Am,Laken Quigley,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2014: Anxiously Engaged (2014),2014,9,12,https://www.youtube.com/watch?v=7KglZtt2u48,243.0
Listen,Colton Avery,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2014: Anxiously Engaged (2014),2014,10,12,https://www.youtube.com/watch?v=2Y7de08gBzA,225.0
Sun’s Gonna Rise,Stephen Brown,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,,,EFY 2014: Anxiously Engaged (2014),2014,11,12,https://www.youtube.com/watch?v=BXbFHnwJBxg,233.0
When I Go,Jessica Frech,,,,,,,,,,,Scott Krippayne,Russ Dixon,,,,Scott Krippayne,Russ Dixon,,,,,,EFY 2014: Anxiously Engaged (2014),2014,12,12,https://www.youtube.com/watch?v=0rFOWVtBfvs,228.0
Here Am I,Spencer Forsey,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,Tyler Castleton,Russ Dixon,Scott Krippayne,,,,,EFY 2015: Here Am I (2015),2015,1,13,https://www.youtube.com/watch?v=dDeZp3tbaQg,246.0
We Are,Madilyn Paige,,,,,,,,,,,Chuck Butler,Ed Cash,Hillary McBride,James Tealy,,Chuck Butler,Ed Cash,Hillary McBride,James Tealy,,,,EFY 2015: Here Am I (2015),2015,2,13,https://www.youtube.com/watch?v=1hrFRytpES8,221.0
Dare to Stand Alone,Zac Love,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2015: Here Am I (2015),2015,3,13,https://www.youtube.com/watch?v=fLs3ooo-IYc,197.0
I Believe,Catherine Papworth,,,,,,,,,,,Russ Dixon,Scott Krippayne,Tyler Castleton,,,Russ Dixon,Scott Krippayne,Tyler Castleton,,,,,EFY 2015: Here Am I (2015),2015,4,13,https://www.youtube.com/watch?v=Tm7jVYt_fKk,250.0
Miracle,Stephanie Smith Mabey,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2015: Here Am I (2015),2015,5,13,https://www.youtube.com/watch?v=6E30Du8m0VQ,205.0
That’s Why,Scott Krippayne,,,,,,,,,,,Scott Krippayne,Tyler Castleton,Russ Dixon,,,Scott Krippayne,Tyler Castleton,Russ Dixon,,,,,EFY 2015: Here Am I (2015),2015,6,13,https://www.youtube.com/watch?v=eEFI_2cG1Is,220.0
He Showed Me How,David Archuleta,,,,,,,,,,,Stephanie Smith Mabey,David Archuleta,,,,Stephanie Smith Mabey,David Archuleta,,,,,,EFY 2015: Here Am I (2015),2015,7,13,https://www.youtube.com/watch?v=vgXUPddyo_0,222.0
The Man I’m Meant to Be,Tim Gates,,,,,,,,,,,Russ Dixon,Dustin Christensen,Tyler Castleton,,,Russ Dixon,Dustin Christensen,Tyler Castleton,,,,,EFY 2015: Here Am I (2015),2015,8,13,https://www.youtube.com/watch?v=-eQ5JibM2mw,239.0
He Hears Your Heart,Bryn Castleton,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2015: Here Am I (2015),2015,9,13,https://www.youtube.com/watch?v=0m1Mey--hcQ,190.0
Not So Little,Nik Day,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2015: Here Am I (2015),2015,10,13,https://www.youtube.com/watch?v=_vcZEpCQ920,204.0
Our Savior’s Love,Hilary Weeks,,,,,,,,,,,Edward L. Hart,,,,,Crawford Gates,,,,Tyler Castleton,,,EFY 2015: Here Am I (2015),2015,11,13,https://www.youtube.com/watch?v=eOKbD9w8uos,240.0
Lay It Down,Julie Rose,,,,,,,,,,,Tyler Castleton,Russ Dixon,,,,Tyler Castleton,Russ Dixon,,,,,,EFY 2015: Here Am I (2015),2015,12,13,https://www.youtube.com/watch?v=CY2Sn0hy6uI,276.0
Legacy,Stephen Brown,,,,,,,,,,,Tyler Castleton,Russ Dixon,Scott Krippayne,Tyler Norton,,Tyler Castleton,Russ Dixon,Scott Krippayne,Tyler Norton,,,,EFY 2015: Here Am I (2015),2015,13,13,https://www.youtube.com/watch?v=03xGXsKN16s,242.0
What Matters Most,Abe Kaelin,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2016: What Matters Most (2016),2016,1,12,https://www.youtube.com/watch?v=mRDF-epdi4I,227.0
Grateful in All Things,Keiyana Osmond,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2016: What Matters Most (2016),2016,2,12,https://www.youtube.com/watch?v=HbgJoK6Hc74,192.0
You Are Called,Christian Love,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2016: What Matters Most (2016),2016,3,12,https://www.youtube.com/watch?v=4GTR1WW7jk4,207.0
Change Your Heart,Jenn Blosil,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2016: What Matters Most (2016),2016,4,12,https://www.youtube.com/watch?v=Uaq02yunvvM,215.0
Light of the World,Ryan Innes,,,,,,,,,,,Scott Krippayne,Russ Dixon,,,,Scott Krippayne,Russ Dixon,,,,,,EFY 2016: What Matters Most (2016),2016,5,12,https://www.youtube.com/watch?v=i-e5qXqca4g,202.0
Daughters,Jenny Reynolds,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2016: What Matters Most (2016),2016,6,12,https://www.youtube.com/watch?v=wFBPpcXclsE,222.0
New Song,Scott Krippayne,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2016: What Matters Most (2016),2016,7,12,https://www.youtube.com/watch?v=Cggjg5gc8JA,206.0
Real to Me,Anna Richey,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 2016: What Matters Most (2016),2016,8,12,https://www.youtube.com/watch?v=ANz_ZCYiBf8,262.0
Real Man,Eric Michels,,,,,,,,,,,Nik Day,Russ Dixon,,,,Nik Day,Russ Dixon,,,,,,EFY 2016: What Matters Most (2016),2016,9,12,https://www.youtube.com/watch?v=mPbAs2A8mhg,231.0
Still Small Voice,Jena Woods,,,,,,,,,,,Nik Day,Russ Dixon,,,,Nik Day,Russ Dixon,,,,,,EFY 2016: What Matters Most (2016),2016,10,12,https://www.youtube.com/watch?v=88dEHsXSrHE,206.0
Last Time,Nik Day,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2016: What Matters Most (2016),2016,11,12,https://www.youtube.com/watch?v=H9VpMeA61s8,194.0
Because He Lives,Nick Neel,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 2016: What Matters Most (2016),2016,12,12,https://www.youtube.com/watch?v=A_PCZdWLUK4,228.0
The Way to Become,Jamison Tyler,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2017: The Way to Become (2017),2017,1,12,https://www.youtube.com/watch?v=mDgRJYpVUTg,236.0
Call of a Lifetime,Logan Shelton,,,,,,,,,,,Wayne Burton,,,,,Wayne Burton,,,,,,,EFY 2017: The Way to Become (2017),2017,2,12,https://www.youtube.com/watch?v=-qxHMV7dgnU,218.0
He Believes in You,Gabrielle McKeon,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,3,12,https://www.youtube.com/watch?v=pgpr52PMOPo,205.0
Stand,Brian Richton,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2017: The Way to Become (2017),2017,4,12,https://www.youtube.com/watch?v=fGnBV4mfw2k,258.0
One More Day,Brandon Harms,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,5,12,https://www.youtube.com/watch?v=Yf1tO2MZdlE,210.0
He Loves You Enough,Aubrey Toone,Cayson Renshaw,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,6,12,https://www.youtube.com/watch?v=5FWw2XN6lpU,182.0
Forgive,Nik Day,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,7,12,https://www.youtube.com/watch?v=qIs5PS-2RPM,222.0
Belief,Kenz Hall,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,8,12,https://www.youtube.com/watch?v=hOPyd7eYeF4,217.0
Live,Yahosh Bonner,,,,,,,,,,,Russ Dixon,Scott Krippayne,,,,Russ Dixon,Scott Krippayne,,,,,,EFY 2017: The Way to Become (2017),2017,9,12,https://www.youtube.com/watch?v=HZ8B_Gm83Ag,225.0
Truth Never Changes,Maddie Wilson,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,10,12,https://www.youtube.com/watch?v=h_MbWu5-THo,191.0
Every Mountain,Patch Crowe,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2017: The Way to Become (2017),2017,11,12,https://www.youtube.com/watch?v=_FoEx0eh5vQ,196.0
His Love Will Lead You Home,Julie Rose,,,,,,,,,,,Tyler Castleton,Wayne Burton,,,,Tyler Castleton,Wayne Burton,,,,,,EFY 2017: The Way to Become (2017),2017,12,12,https://www.youtube.com/watch?v=HNlvV1yjRgc,275.0
Choose Joy,Scott Krippayne,,,,,,,,,,,Tyler Castleton,Scott Krippayne,,,,Tyler Castleton,Scott Krippayne,,,,,,EFY 2018: Choose Joy (2018),2018,1,13,https://www.youtube.com/watch?v=d3hUZRnK-MU,245.0
Bring You Home,Nik Day,,,,,,,,,,,Nik Day,Kendra Lowe,,,,Nik Day,Kendra Lowe,,,,,,EFY 2018: Choose Joy (2018),2018,2,13,https://www.youtube.com/watch?v=agBkl63tvvU,185.0
Light the Dark,Gabrielle McKeon,,,,,,,,,,,Stephanie Smith Mabey,,,,,Stephanie Smith Mabey,,,,,,,EFY 2018: Choose Joy (2018),2018,3,13,https://www.youtube.com/watch?v=MtsS8JG1vDw,227.0
All I’ll Ever Be,Patch Crowe,,,,,,,,,,,Tyler Castleton,Wayne Burton,,,,Tyler Castleton,Wayne Burton,,,,,,EFY 2018: Choose Joy (2018),2018,4,13,https://www.youtube.com/watch?v=KFIRaKtZ3r8,233.0
For You,Sage Patchin,,,,,,,,,,,Hilary Weeks,,,,,Hilary Weeks,,,,Tyler Castleton,,,EFY 2018: Choose Joy (2018),2018,5,13,https://www.youtube.com/watch?v=DeLWB9DTcHw,226.0
Daughters of God,Madilyn Paige,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2018: Choose Joy (2018),2018,6,13,https://www.youtube.com/watch?v=qOVuhbKkI1k,193.0
It Begins With You,Cayson Renshaw,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2018: Choose Joy (2018),2018,7,13,https://www.youtube.com/watch?v=1grRqADcQP0,191.0
There Is One,Hilary Weeks,,,,,,,,,,,Hilary Weeks,,,,,Hilary Weeks,,,,,,,EFY 2018: Choose Joy (2018),2018,8,13,https://www.youtube.com/watch?v=BjQBRxiHduU,215.0
Evidence,Jantzen Dalley,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 2018: Choose Joy (2018),2018,9,13,https://www.youtube.com/watch?v=CmYebL0CLnQ,263.0
Something Different,Aubrey Toone,,,,,,,,,,,Nik Day,,,,,Nik Day,,,,,,,EFY 2018: Choose Joy (2018),2018,10,13,https://www.youtube.com/watch?v=c9AQpcajnwo,183.0
Living Water,Lauryn Judd,,,,,,,,,,,Nik Day,Tyler Castleton,,,,Nik Day,Tyler Castleton,,,Tyler Castleton,,,EFY 2018: Choose Joy (2018),2018,11,13,https://www.youtube.com/watch?v=spObWcqC8gg,245.0
This Season,Zac Love,,,,,,,,,,,Tyler Castleton,Nik Day,,,,Tyler Castleton,Nik Day,,,,,,EFY 2018: Choose Joy (2018),2018,12,13,https://www.youtube.com/watch?v=j-iPimp_nzc,208.0
