Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
"Do Likewise, My Friend",Brett Raymond,,,,,,,,,,,Michael Webb,,,,,Michael Webb,Dan Truman,,,Brett Raymond,,,EFY 1991: Walk with Me (1991),1991,6,10,,
Hand in Hand,Julie de Azevedo,Emilie de Azevedo,Rachel de Azevedo,,,,,,,,,Julie de Azevedo,James Marsden,,,,Julie de Azevedo,Lex de Azevedo,James Marsden,,James Marsden,,,EFY 1991: Walk with Me (1991),1991,7,10,,
Teach Me to Walk in the Light,Skye,,,,,,,,,,,Clara W. McMaster,,,,,Clara W. McMaster,,,,Lex de Azevedo,,,EFY 1991: Walk with Me (1991),1991,8,10,,
His Love for Me,Envoy,,,,,,,,,,,James Marsden,Clive Romney,,,,James Marsden,,,,James Marsden,,,EFY 1991: Walk with Me (1991),1991,9,10,,
Sing a New Song,The Friends,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Clive Romney,,,EFY 1991: Walk with Me (1991),1991,10,10,,
Of One Heart,Vickey Pahnke Taylor,Steve James,,,,,,,,,,Steve James,Vickey Pahnke Taylor,,,,Steve James,Vickey Pahnke Taylor,,,Merrill Jenson,Steve James,,EFY 1992: Of One Heart (1992),1992,1,10,,
A Change of Heart,Wanda Lindstrom,,,,,,,,,,,Wanda Lindstrom,,,,,Wanda Lindstrom,,,,Merrill Jenson,,,EFY 1992: Of One Heart (1992),1992,2,10,,
When Your Heart Says Go,Dave Betros,,,,,,,,,,,Don Stirling,,,,,Sam Cardon,,,,Sam Cardon,,,EFY 1992: Of One Heart (1992),1992,3,10,,
"One Heart, One Mind",Kathryn Laycock Little,Roger Hoffman,Marvin Payne,,,,,,,,,Roger Hoffman,,,,,Roger Hoffman,,,,Roger Hoffman,,,EFY 1992: Of One Heart (1992),1992,4,10,,
I Know in My Heart,Jeff Herrera,,,,,,,,,,,Jeff Herrera,,,,,Jeff Herrera,,,,Jeff Herrera,,,EFY 1992: Of One Heart (1992),1992,5,10,,
He’ll Make You Whole,Sonja Jenson,Joel McCausland,,,,,,,,,,Joel McCausland,,,,,Merrill Jenson,,,,Merrill Jenson,,,EFY 1992: Of One Heart (1992),1992,6,10,,
Seeds of Truth,Anna Rollins,,,,,,,,,,,Kevin R. Olson,,,,,Kevin R. Olson,,,,Merrill Jenson,,,EFY 1992: Of One Heart (1992),1992,7,10,,
